sample_id,highway,lat,lng,class_id,distress_type,confidence,u_min,v_min,width,height,weather
RDD-IND-00001,NH-44 KM 108.4,28.7041,77.1025,1,D00_Longitudinal,0.943,0.216,0.753,0.094,0.112,Monsoon Rain
RDD-IND-00002,NH-48 KM 214.2,28.7053,77.1034,4,D40_Pothole,0.994,0.286,0.513,0.192,0.206,Sunny Daylight
RDD-IND-00003,NH-66 KM 45.1,28.7065,77.1043,3,D20_Alligator,0.974,0.65,0.681,0.169,0.151,Night Sodium
RDD-IND-00004,Mumbai-Pune Exp KM 88.0,28.7077,77.1052,3,D20_Alligator,0.963,0.316,0.695,0.117,0.122,Overcast
RDD-IND-00005,NH-44 KM 108.4,28.7089,77.1061,0,Normal,0.924,0.253,0.315,0.221,0.144,Monsoon Rain
RDD-IND-00006,NH-48 KM 214.2,28.7101,77.107,0,Normal,0.924,0.142,0.542,0.28,0.089,Sunny Daylight
RDD-IND-00007,NH-66 KM 45.1,28.7113,77.1079,0,Normal,0.915,0.343,0.32,0.154,0.13,Night Sodium
RDD-IND-00008,Mumbai-Pune Exp KM 88.0,28.7125,77.1088,4,D40_Pothole,0.986,0.135,0.385,0.284,0.188,Overcast
RDD-IND-00009,NH-44 KM 108.4,28.7137,77.1097,3,D20_Alligator,0.963,0.429,0.773,0.082,0.077,Monsoon Rain
RDD-IND-00010,NH-48 KM 214.2,28.7149,77.1106,3,D20_Alligator,0.972,0.142,0.751,0.124,0.117,Sunny Daylight
RDD-IND-00011,NH-66 KM 45.1,28.7161,77.1115,0,Normal,0.912,0.451,0.42,0.279,0.195,Night Sodium
RDD-IND-00012,Mumbai-Pune Exp KM 88.0,28.7173,77.1124,4,D40_Pothole,0.995,0.45,0.653,0.299,0.172,Overcast
RDD-IND-00013,NH-44 KM 108.4,28.7185,77.1133,4,D40_Pothole,0.983,0.676,0.472,0.342,0.167,Monsoon Rain
RDD-IND-00014,NH-48 KM 214.2,28.7197,77.1142,1,D00_Longitudinal,0.929,0.19,0.776,0.132,0.222,Sunny Daylight
RDD-IND-00015,NH-66 KM 45.1,28.7209,77.1151,0,Normal,0.926,0.389,0.399,0.118,0.075,Night Sodium
RDD-IND-00016,Mumbai-Pune Exp KM 88.0,28.7221,77.116,0,Normal,0.926,0.52,0.758,0.104,0.222,Overcast
RDD-IND-00017,NH-44 KM 108.4,28.7233,77.1169,1,D00_Longitudinal,0.937,0.412,0.572,0.17,0.085,Monsoon Rain
RDD-IND-00018,NH-48 KM 214.2,28.7245,77.1178,2,D10_Lateral,0.956,0.35,0.714,0.206,0.109,Sunny Daylight
RDD-IND-00019,NH-66 KM 45.1,28.7257,77.1187,2,D10_Lateral,0.948,0.1,0.766,0.229,0.174,Night Sodium
RDD-IND-00020,Mumbai-Pune Exp KM 88.0,28.7269,77.1196,1,D00_Longitudinal,0.936,0.393,0.414,0.286,0.103,Overcast
RDD-IND-00021,NH-44 KM 108.4,28.7281,77.1205,3,D20_Alligator,0.964,0.373,0.615,0.273,0.242,Monsoon Rain
RDD-IND-00022,NH-48 KM 214.2,28.7293,77.1214,0,Normal,0.922,0.576,0.388,0.301,0.105,Sunny Daylight
RDD-IND-00023,NH-66 KM 45.1,28.7305,77.1223,1,D00_Longitudinal,0.936,0.179,0.794,0.17,0.167,Night Sodium
RDD-IND-00024,Mumbai-Pune Exp KM 88.0,28.7317,77.1232,1,D00_Longitudinal,0.942,0.437,0.681,0.314,0.171,Overcast
RDD-IND-00025,NH-44 KM 108.4,28.7329,77.1241,2,D10_Lateral,0.95,0.47,0.445,0.294,0.171,Monsoon Rain
RDD-IND-00026,NH-48 KM 214.2,28.7341,77.125,4,D40_Pothole,0.979,0.614,0.677,0.173,0.137,Sunny Daylight
RDD-IND-00027,NH-66 KM 45.1,28.7353,77.1259,0,Normal,0.928,0.246,0.759,0.208,0.132,Night Sodium
RDD-IND-00028,Mumbai-Pune Exp KM 88.0,28.7365,77.1268,2,D10_Lateral,0.955,0.48,0.411,0.192,0.119,Overcast
RDD-IND-00029,NH-44 KM 108.4,28.7377,77.1277,3,D20_Alligator,0.962,0.163,0.698,0.148,0.062,Monsoon Rain
RDD-IND-00030,NH-48 KM 214.2,28.7389,77.1286,0,Normal,0.914,0.478,0.334,0.119,0.159,Sunny Daylight
RDD-IND-00031,NH-66 KM 45.1,28.7401,77.1295,3,D20_Alligator,0.963,0.575,0.768,0.248,0.23,Night Sodium
RDD-IND-00032,Mumbai-Pune Exp KM 88.0,28.7413,77.1304,0,Normal,0.925,0.346,0.552,0.341,0.182,Overcast
RDD-IND-00033,NH-44 KM 108.4,28.7425,77.1313,0,Normal,0.916,0.614,0.353,0.231,0.212,Monsoon Rain
RDD-IND-00034,NH-48 KM 214.2,28.7437,77.1322,4,D40_Pothole,0.994,0.621,0.509,0.168,0.169,Sunny Daylight
RDD-IND-00035,NH-66 KM 45.1,28.7449,77.1331,4,D40_Pothole,0.995,0.37,0.638,0.13,0.13,Night Sodium
RDD-IND-00036,Mumbai-Pune Exp KM 88.0,28.7461,77.134,4,D40_Pothole,0.981,0.672,0.381,0.281,0.114,Overcast
RDD-IND-00037,NH-44 KM 108.4,28.7473,77.1349,1,D00_Longitudinal,0.937,0.387,0.628,0.302,0.125,Monsoon Rain
RDD-IND-00038,NH-48 KM 214.2,28.7485,77.1358,0,Normal,0.919,0.121,0.714,0.289,0.184,Sunny Daylight
RDD-IND-00039,NH-66 KM 45.1,28.7497,77.1367,3,D20_Alligator,0.97,0.246,0.35,0.301,0.067,Night Sodium
RDD-IND-00040,Mumbai-Pune Exp KM 88.0,28.7509,77.1376,2,D10_Lateral,0.949,0.338,0.366,0.114,0.114,Overcast
RDD-IND-00041,NH-44 KM 108.4,28.7521,77.1385,0,Normal,0.921,0.31,0.758,0.186,0.214,Monsoon Rain
RDD-IND-00042,NH-48 KM 214.2,28.7533,77.1394,2,D10_Lateral,0.954,0.151,0.574,0.221,0.195,Sunny Daylight
RDD-IND-00043,NH-66 KM 45.1,28.7545,77.1403,0,Normal,0.913,0.669,0.65,0.155,0.238,Night Sodium
RDD-IND-00044,Mumbai-Pune Exp KM 88.0,28.7557,77.1412,4,D40_Pothole,0.99,0.347,0.668,0.229,0.233,Overcast
RDD-IND-00045,NH-44 KM 108.4,28.7569,77.1421,1,D00_Longitudinal,0.933,0.66,0.598,0.21,0.078,Monsoon Rain
RDD-IND-00046,NH-48 KM 214.2,28.7581,77.143,3,D20_Alligator,0.968,0.49,0.738,0.184,0.204,Sunny Daylight
RDD-IND-00047,NH-66 KM 45.1,28.7593,77.1439,1,D00_Longitudinal,0.937,0.679,0.449,0.147,0.192,Night Sodium
RDD-IND-00048,Mumbai-Pune Exp KM 88.0,28.7605,77.1448,2,D10_Lateral,0.956,0.323,0.791,0.108,0.162,Overcast
RDD-IND-00049,NH-44 KM 108.4,28.7617,77.1457,2,D10_Lateral,0.958,0.422,0.407,0.327,0.088,Monsoon Rain
RDD-IND-00050,NH-48 KM 214.2,28.7629,77.1466,0,Normal,0.926,0.644,0.728,0.219,0.098,Sunny Daylight
RDD-IND-00051,NH-66 KM 45.1,28.7641,77.1475,4,D40_Pothole,0.995,0.571,0.541,0.184,0.155,Night Sodium
RDD-IND-00052,Mumbai-Pune Exp KM 88.0,28.7653,77.1484,4,D40_Pothole,0.978,0.297,0.536,0.155,0.051,Overcast
RDD-IND-00053,NH-44 KM 108.4,28.7665,77.1493,4,D40_Pothole,0.993,0.349,0.595,0.095,0.247,Monsoon Rain
RDD-IND-00054,NH-48 KM 214.2,28.7677,77.1502,4,D40_Pothole,0.989,0.168,0.608,0.141,0.186,Sunny Daylight
RDD-IND-00055,NH-66 KM 45.1,28.7689,77.1511,3,D20_Alligator,0.963,0.154,0.504,0.326,0.206,Night Sodium
RDD-IND-00056,Mumbai-Pune Exp KM 88.0,28.7701,77.152,4,D40_Pothole,0.991,0.399,0.782,0.216,0.105,Overcast
RDD-IND-00057,NH-44 KM 108.4,28.7713,77.1529,0,Normal,0.918,0.517,0.427,0.086,0.24,Monsoon Rain
RDD-IND-00058,NH-48 KM 214.2,28.7725,77.1538,0,Normal,0.927,0.624,0.573,0.232,0.051,Sunny Daylight
RDD-IND-00059,NH-66 KM 45.1,28.7737,77.1547,0,Normal,0.914,0.129,0.593,0.093,0.195,Night Sodium
RDD-IND-00060,Mumbai-Pune Exp KM 88.0,28.7749,77.1556,1,D00_Longitudinal,0.939,0.613,0.584,0.104,0.221,Overcast
RDD-IND-00061,NH-44 KM 108.4,28.7761,77.1565,1,D00_Longitudinal,0.944,0.59,0.792,0.336,0.191,Monsoon Rain
RDD-IND-00062,NH-48 KM 214.2,28.7773,77.1574,1,D00_Longitudinal,0.934,0.303,0.382,0.108,0.05,Sunny Daylight
RDD-IND-00063,NH-66 KM 45.1,28.7785,77.1583,4,D40_Pothole,0.983,0.167,0.668,0.183,0.067,Night Sodium
RDD-IND-00064,Mumbai-Pune Exp KM 88.0,28.7797,77.1592,1,D00_Longitudinal,0.941,0.557,0.538,0.124,0.059,Overcast
RDD-IND-00065,NH-44 KM 108.4,28.7809,77.1601,1,D00_Longitudinal,0.935,0.294,0.591,0.253,0.182,Monsoon Rain
RDD-IND-00066,NH-48 KM 214.2,28.7821,77.161,2,D10_Lateral,0.958,0.161,0.339,0.087,0.061,Sunny Daylight
RDD-IND-00067,NH-66 KM 45.1,28.7833,77.1619,0,Normal,0.922,0.663,0.626,0.123,0.166,Night Sodium
