image_id,label,depth_category,est_area_m2,morth_tonnage_t,repair_cost_inr
KAGGLE-POTHOLE-00001.jpg,Pothole,Severe,1.18,0.252,1890.0
KAGGLE-POTHOLE-00002.jpg,Pothole,Severe,1.43,0.24,1800.0
KAGGLE-POTHOLE-00003.jpg,Pothole,Severe,0.65,0.137,1027.5
KAGGLE-POTHOLE-00004.jpg,Pothole,Severe,0.53,0.099,742.5
KAGGLE-POTHOLE-00005.jpg,Pothole,Severe,1.9,0.292,2190.0
KAGGLE-POTHOLE-00006.jpg,Pothole,Severe,0.82,0.148,1110.0
KAGGLE-POTHOLE-00007.jpg,Pothole,Severe,0.93,0.174,1305.0
KAGGLE-POTHOLE-00008.jpg,Pothole,Severe,1.28,0.218,1635.0
KAGGLE-POTHOLE-00009.jpg,Pothole,Moderate,0.72,0.073,547.5
KAGGLE-POTHOLE-00010.jpg,Pothole,Moderate,1.43,0.154,1155.0
KAGGLE-POTHOLE-00011.jpg,Pothole,Moderate,1.41,0.203,1522.5
KAGGLE-POTHOLE-00012.jpg,Pothole,Severe,0.62,0.126,945.0
KAGGLE-POTHOLE-00013.jpg,Pothole,Moderate,1.24,0.17,1275.0
KAGGLE-POTHOLE-00014.jpg,Pothole,Moderate,1.44,0.194,1455.0
KAGGLE-POTHOLE-00015.jpg,Pothole,Severe,2.77,0.485,3637.5
KAGGLE-POTHOLE-00016.jpg,Pothole,Severe,0.91,0.133,997.5
KAGGLE-POTHOLE-00017.jpg,Pothole,Moderate,2.7,0.259,1942.5
KAGGLE-POTHOLE-00018.jpg,Pothole,Moderate,1.63,0.141,1057.5
KAGGLE-POTHOLE-00019.jpg,Pothole,Severe,0.52,0.097,727.5
KAGGLE-POTHOLE-00020.jpg,Pothole,Severe,1.66,0.347,2602.5
KAGGLE-POTHOLE-00021.jpg,Pothole,Moderate,2.26,0.32,2400.0
KAGGLE-POTHOLE-00022.jpg,Pothole,Moderate,1.44,0.159,1192.5
KAGGLE-POTHOLE-00023.jpg,Pothole,Severe,0.69,0.141,1057.5
KAGGLE-POTHOLE-00024.jpg,Pothole,Moderate,1.55,0.208,1560.0
KAGGLE-POTHOLE-00025.jpg,Pothole,Severe,0.47,0.087,652.5
KAGGLE-POTHOLE-00026.jpg,Pothole,Severe,1.58,0.341,2557.5
KAGGLE-POTHOLE-00027.jpg,Pothole,Severe,1.35,0.285,2137.5
KAGGLE-POTHOLE-00028.jpg,Pothole,Severe,2.39,0.511,3832.5
KAGGLE-POTHOLE-00029.jpg,Pothole,Moderate,1.24,0.179,1342.5
KAGGLE-POTHOLE-00030.jpg,Pothole,Moderate,1.33,0.124,930.0
KAGGLE-POTHOLE-00031.jpg,Pothole,Moderate,2.57,0.265,1987.5
KAGGLE-POTHOLE-00032.jpg,Pothole,Moderate,2.1,0.257,1927.5
KAGGLE-POTHOLE-00033.jpg,Pothole,Severe,1.51,0.254,1905.0
KAGGLE-POTHOLE-00034.jpg,Pothole,Severe,0.68,0.118,885.0
KAGGLE-POTHOLE-00035.jpg,Pothole,Severe,0.64,0.124,930.0
KAGGLE-POTHOLE-00036.jpg,Pothole,Moderate,2.65,0.324,2430.0
KAGGLE-POTHOLE-00037.jpg,Pothole,Severe,2.13,0.394,2955.0
KAGGLE-POTHOLE-00038.jpg,Pothole,Moderate,0.85,0.1,750.0
KAGGLE-POTHOLE-00039.jpg,Pothole,Moderate,2.64,0.361,2707.5
KAGGLE-POTHOLE-00040.jpg,Pothole,Moderate,2.69,0.252,1890.0
KAGGLE-POTHOLE-00041.jpg,Pothole,Severe,2.57,0.376,2820.0
KAGGLE-POTHOLE-00042.jpg,Pothole,Severe,1.39,0.264,1980.0
KAGGLE-POTHOLE-00043.jpg,Pothole,Moderate,2.18,0.283,2122.5
KAGGLE-POTHOLE-00044.jpg,Pothole,Moderate,2.45,0.247,1852.5
KAGGLE-POTHOLE-00045.jpg,Pothole,Moderate,1.83,0.18,1350.0
KAGGLE-POTHOLE-00046.jpg,Pothole,Moderate,0.73,0.093,697.5
KAGGLE-POTHOLE-00047.jpg,Pothole,Severe,1.04,0.185,1387.5
KAGGLE-POTHOLE-00048.jpg,Pothole,Severe,2.3,0.37,2775.0
KAGGLE-POTHOLE-00049.jpg,Pothole,Moderate,2.5,0.336,2520.0
KAGGLE-POTHOLE-00050.jpg,Pothole,Severe,2.01,0.415,3112.5
KAGGLE-POTHOLE-00051.jpg,Pothole,Moderate,2.02,0.179,1342.5
KAGGLE-POTHOLE-00052.jpg,Pothole,Moderate,0.9,0.097,727.5
KAGGLE-POTHOLE-00053.jpg,Pothole,Moderate,2.32,0.239,1792.5
KAGGLE-POTHOLE-00054.jpg,Pothole,Moderate,2.49,0.287,2152.5
KAGGLE-POTHOLE-00055.jpg,Pothole,Severe,1.29,0.269,2017.5
KAGGLE-POTHOLE-00056.jpg,Pothole,Severe,0.74,0.147,1102.5
KAGGLE-POTHOLE-00057.jpg,Pothole,Severe,1.27,0.25,1875.0
KAGGLE-POTHOLE-00058.jpg,Pothole,Moderate,1.23,0.156,1170.0
KAGGLE-POTHOLE-00059.jpg,Pothole,Severe,2.71,0.442,3315.0
KAGGLE-POTHOLE-00060.jpg,Pothole,Moderate,1.26,0.127,952.5
KAGGLE-POTHOLE-00061.jpg,Pothole,Moderate,1.62,0.198,1485.0
KAGGLE-POTHOLE-00062.jpg,Pothole,Moderate,2.11,0.223,1672.5
KAGGLE-POTHOLE-00063.jpg,Pothole,Moderate,0.6,0.076,570.0
KAGGLE-POTHOLE-00064.jpg,Pothole,Moderate,2.18,0.293,2197.5
KAGGLE-POTHOLE-00065.jpg,Pothole,Severe,1.61,0.259,1942.5
KAGGLE-POTHOLE-00066.jpg,Pothole,Moderate,2.28,0.241,1807.5
KAGGLE-POTHOLE-00067.jpg,Pothole,Severe,0.79,0.144,1080.0
KAGGLE-POTHOLE-00068.jpg,Pothole,Severe,0.72,0.124,930.0
KAGGLE-POTHOLE-00069.jpg,Pothole,Moderate,1.68,0.222,1665.0
KAGGLE-POTHOLE-00070.jpg,Pothole,Severe,2.68,0.399,2992.5
KAGGLE-POTHOLE-00071.jpg,Pothole,Severe,0.62,0.109,817.5
