crack_id,crack_type,crack_width_mm,crack_length_m,severity,structural_deduct
CRACK500-00001,Longitudinal,14.3,11.0,High,25.7
CRACK500-00002,Transverse,11.4,1.6,Medium,20.5
CRACK500-00003,Alligator,12.5,13.0,High,22.5
CRACK500-00004,Longitudinal,3.1,5.0,Low,5.6
CRACK500-00005,Transverse,19.9,8.2,High,35.8
CRACK500-00006,Alligator,11.5,12.7,Medium,20.7
CRACK500-00007,Longitudinal,3.8,4.2,Low,6.8
CRACK500-00008,Transverse,6.4,10.1,Medium,11.5
CRACK500-00009,Alligator,7.4,10.1,Medium,13.3
CRACK500-00010,Longitudinal,4.8,8.4,Low,8.6
CRACK500-00011,Transverse,12.9,5.9,High,23.2
CRACK500-00012,Alligator,11.6,12.3,Medium,20.9
CRACK500-00013,Longitudinal,7.1,6.9,Medium,12.8
CRACK500-00014,Transverse,18.0,9.0,High,32.4
CRACK500-00015,Alligator,11.5,14.4,Medium,20.7
CRACK500-00016,Longitudinal,4.6,11.7,Low,8.3
CRACK500-00017,Transverse,4.4,9.0,Low,7.9
CRACK500-00018,Alligator,3.7,14.1,Low,6.7
CRACK500-00019,Longitudinal,5.2,3.4,Low,9.4
CRACK500-00020,Transverse,20.8,14.1,High,37.4
CRACK500-00021,Alligator,21.5,12.8,High,38.7
CRACK500-00022,Longitudinal,11.4,12.7,Medium,20.5
CRACK500-00023,Transverse,7.9,11.2,Medium,14.2
CRACK500-00024,Alligator,14.3,2.1,High,25.7
CRACK500-00025,Longitudinal,12.0,7.0,Medium,21.6
CRACK500-00026,Transverse,18.9,9.0,High,34.0
CRACK500-00027,Alligator,3.1,7.2,Low,5.6
CRACK500-00028,Longitudinal,12.4,13.3,High,22.3
CRACK500-00029,Transverse,3.9,6.1,Low,7.0
CRACK500-00030,Alligator,4.3,4.6,Low,7.7
CRACK500-00031,Longitudinal,6.6,9.4,Medium,11.9
CRACK500-00032,Transverse,16.1,6.2,High,29.0
CRACK500-00033,Alligator,17.0,3.3,High,30.6
CRACK500-00034,Longitudinal,12.6,6.9,High,22.7
CRACK500-00035,Transverse,7.3,14.3,Medium,13.1
CRACK500-00036,Alligator,15.9,14.2,High,28.6
CRACK500-00037,Longitudinal,7.1,5.8,Medium,12.8
CRACK500-00038,Transverse,17.9,3.7,High,32.2
CRACK500-00039,Alligator,5.5,7.8,Low,9.9
CRACK500-00040,Longitudinal,4.4,9.3,Low,7.9
CRACK500-00041,Transverse,10.2,9.2,Medium,18.4
CRACK500-00042,Alligator,4.7,7.5,Low,8.5
CRACK500-00043,Longitudinal,8.6,7.6,Medium,15.5
CRACK500-00044,Transverse,14.9,4.0,High,26.8
CRACK500-00045,Alligator,7.5,8.7,Medium,13.5
CRACK500-00046,Longitudinal,16.6,11.5,High,29.9
CRACK500-00047,Transverse,9.4,13.6,Medium,16.9
CRACK500-00048,Alligator,5.7,7.1,Low,10.3
CRACK500-00049,Longitudinal,10.8,4.4,Medium,19.4
CRACK500-00050,Transverse,7.2,1.6,Medium,13.0
CRACK500-00051,Alligator,6.8,11.7,Medium,12.2
CRACK500-00052,Longitudinal,17.7,11.4,High,31.9
CRACK500-00053,Transverse,6.0,14.4,Low,10.8
CRACK500-00054,Alligator,4.8,1.5,Low,8.6
CRACK500-00055,Longitudinal,20.4,2.0,High,36.7
CRACK500-00056,Transverse,19.3,2.9,High,34.7
CRACK500-00057,Alligator,6.2,4.3,Medium,11.2
CRACK500-00058,Longitudinal,12.8,12.3,High,23.0
CRACK500-00059,Transverse,15.2,1.9,High,27.4
CRACK500-00060,Alligator,10.4,2.7,Medium,18.7
CRACK500-00061,Longitudinal,11.9,13.6,Medium,21.4
CRACK500-00062,Transverse,10.6,12.9,Medium,19.1
CRACK500-00063,Alligator,20.0,9.9,High,36.0
CRACK500-00064,Longitudinal,21.3,5.3,High,38.3
CRACK500-00065,Transverse,20.2,4.6,High,36.4
CRACK500-00066,Alligator,11.0,11.6,Medium,19.8
CRACK500-00067,Longitudinal,6.8,6.2,Medium,12.2
CRACK500-00068,Transverse,16.7,12.3,High,30.1
