sequence_id,timestamp_ms,ax_lateral,ay_longitudinal,az_vertical,peak_delta_z,label
SEQ-0001,0,0.336,0.488,9.415,3.01,Expansion_Joint
SEQ-0001,50,-0.123,0.435,9.399,3.01,Expansion_Joint
SEQ-0001,100,-0.004,0.158,9.718,3.01,Expansion_Joint
SEQ-0001,150,-0.195,0.158,9.775,3.01,Expansion_Joint
SEQ-0001,200,0.207,0.115,10.039,3.01,Expansion_Joint
SEQ-0001,250,0.03,-0.511,10.199,3.01,Expansion_Joint
SEQ-0001,300,-0.047,0.277,9.33,3.01,Expansion_Joint
SEQ-0001,350,-0.203,0.008,9.346,3.01,Expansion_Joint
SEQ-0001,400,-0.013,0.016,9.931,3.01,Expansion_Joint
SEQ-0001,450,-0.039,-0.29,10.093,3.01,Expansion_Joint
SEQ-0001,500,-0.039,0.041,9.806,3.01,Expansion_Joint
SEQ-0001,550,-0.067,-0.057,12.415,3.01,Expansion_Joint
SEQ-0001,600,-0.024,0.015,10.087,3.01,Expansion_Joint
SEQ-0001,650,0.406,-0.29,9.351,3.01,Expansion_Joint
SEQ-0001,700,-0.066,-0.015,10.281,3.01,Expansion_Joint
SEQ-0001,750,-0.249,-0.376,9.488,3.01,Expansion_Joint
SEQ-0001,800,0.109,0.122,9.761,3.01,Expansion_Joint
SEQ-0001,850,-0.263,0.158,10.077,3.01,Expansion_Joint
SEQ-0001,900,0.155,0.124,9.869,3.01,Expansion_Joint
SEQ-0001,950,0.062,0.106,9.782,3.01,Expansion_Joint
SEQ-0002,0,0.267,0.116,10.629,7.6,Pothole_Shock
SEQ-0002,50,-0.206,-0.138,9.273,7.6,Pothole_Shock
SEQ-0002,100,-0.055,0.163,10.071,7.6,Pothole_Shock
SEQ-0002,150,0.009,-0.028,10.187,7.6,Pothole_Shock
SEQ-0002,200,-0.072,-0.132,9.29,7.6,Pothole_Shock
SEQ-0002,250,-0.023,0.135,9.475,7.6,Pothole_Shock
SEQ-0002,300,-0.017,-0.117,9.635,7.6,Pothole_Shock
SEQ-0002,350,0.011,0.047,10.113,7.6,Pothole_Shock
SEQ-0002,400,0.179,-0.129,9.856,7.6,Pothole_Shock
SEQ-0002,450,0.045,0.158,9.882,7.6,Pothole_Shock
SEQ-0002,500,-0.116,-0.159,9.961,7.6,Pothole_Shock
SEQ-0002,550,2.19,1.67,17.406,7.6,Pothole_Shock
SEQ-0002,600,0.074,-0.099,9.846,7.6,Pothole_Shock
SEQ-0002,650,-0.317,0.064,10.344,7.6,Pothole_Shock
SEQ-0002,700,0.09,0.185,9.634,7.6,Pothole_Shock
SEQ-0002,750,0.274,-0.447,9.963,7.6,Pothole_Shock
SEQ-0002,800,0.184,0.246,9.446,7.6,Pothole_Shock
SEQ-0002,850,0.043,-0.3,9.79,7.6,Pothole_Shock
SEQ-0002,900,0.084,-0.083,9.599,7.6,Pothole_Shock
SEQ-0002,950,0.02,-0.041,9.698,7.6,Pothole_Shock
SEQ-0003,0,0.396,-0.154,11.209,2.73,Rumble_Strip
SEQ-0003,50,0.226,-0.086,10.328,2.73,Rumble_Strip
SEQ-0003,100,-0.372,0.25,9.315,2.73,Rumble_Strip
SEQ-0003,150,-0.348,-0.008,8.855,2.73,Rumble_Strip
SEQ-0003,200,-0.506,0.147,8.937,2.73,Rumble_Strip
SEQ-0003,250,-0.921,-0.065,8.252,2.73,Rumble_Strip
SEQ-0003,300,-0.748,0.125,7.709,2.73,Rumble_Strip
SEQ-0003,350,-0.37,0.055,8.344,2.73,Rumble_Strip
SEQ-0003,400,-0.553,-0.175,8.758,2.73,Rumble_Strip
SEQ-0003,450,-0.333,-0.241,10.229,2.73,Rumble_Strip
SEQ-0003,500,0.43,0.172,11.1,2.73,Rumble_Strip
SEQ-0003,550,0.583,-0.05,10.613,2.73,Rumble_Strip
SEQ-0003,600,0.486,-0.021,11.677,2.73,Rumble_Strip
SEQ-0003,650,0.676,-0.194,11.354,2.73,Rumble_Strip
SEQ-0003,700,0.378,0.468,10.966,2.73,Rumble_Strip
SEQ-0003,750,0.297,0.022,10.672,2.73,Rumble_Strip
SEQ-0003,800,0.009,-0.03,8.856,2.73,Rumble_Strip
SEQ-0003,850,-0.262,-0.025,8.571,2.73,Rumble_Strip
SEQ-0003,900,-0.441,-0.002,8.291,2.73,Rumble_Strip
SEQ-0003,950,-0.464,-0.051,8.454,2.73,Rumble_Strip
SEQ-0004,0,0.55,0.079,9.422,3.06,Rumble_Strip
SEQ-0004,50,0.312,-0.036,11.483,3.06,Rumble_Strip
SEQ-0004,100,0.621,-0.315,12.478,3.06,Rumble_Strip
SEQ-0004,150,0.782,-0.092,11.843,3.06,Rumble_Strip
SEQ-0004,200,0.905,0.002,12.795,3.06,Rumble_Strip
SEQ-0004,250,0.748,-0.291,12.813,3.06,Rumble_Strip
SEQ-0004,300,0.534,0.099,11.843,3.06,Rumble_Strip
SEQ-0004,350,0.499,0.014,11.074,3.06,Rumble_Strip
SEQ-0004,400,-0.476,0.166,10.263,3.06,Rumble_Strip
SEQ-0004,450,-0.34,0.034,9.407,3.06,Rumble_Strip
SEQ-0004,500,-0.657,0.024,8.109,3.06,Rumble_Strip
SEQ-0004,550,-0.727,-0.154,6.807,3.06,Rumble_Strip
SEQ-0004,600,-1.221,-0.25,7.785,3.06,Rumble_Strip
SEQ-0004,650,-0.76,0.102,6.892,3.06,Rumble_Strip
SEQ-0004,700,-0.763,0.13,7.752,3.06,Rumble_Strip
SEQ-0004,750,-0.357,0.569,8.81,3.06,Rumble_Strip
SEQ-0004,800,-0.479,-0.166,8.847,3.06,Rumble_Strip
SEQ-0004,850,0.158,-0.516,10.729,3.06,Rumble_Strip
SEQ-0004,900,0.4,-0.296,10.632,3.06,Rumble_Strip
SEQ-0004,950,0.821,-0.002,12.064,3.06,Rumble_Strip
SEQ-0005,0,-0.29,0.058,9.188,0.82,Smooth_Road
SEQ-0005,50,0.287,0.282,10.001,0.82,Smooth_Road
SEQ-0005,100,0.41,0.135,10.117,0.82,Smooth_Road
SEQ-0005,150,-0.136,0.112,9.979,0.82,Smooth_Road
SEQ-0005,200,0.268,0.364,10.233,0.82,Smooth_Road
SEQ-0005,250,0.004,-0.117,10.006,0.82,Smooth_Road
SEQ-0005,300,-0.093,0.316,9.865,0.82,Smooth_Road
SEQ-0005,350,0.103,-0.026,9.659,0.82,Smooth_Road
SEQ-0005,400,-0.267,-0.152,9.737,0.82,Smooth_Road
SEQ-0005,450,-0.162,-0.296,10.28,0.82,Smooth_Road
SEQ-0005,500,0.189,0.191,10.097,0.82,Smooth_Road
SEQ-0005,550,0.065,0.034,9.198,0.82,Smooth_Road
SEQ-0005,600,-0.206,-0.018,10.209,0.82,Smooth_Road
SEQ-0005,650,0.117,-0.05,10.232,0.82,Smooth_Road
SEQ-0005,700,-0.061,0.396,9.294,0.82,Smooth_Road
SEQ-0005,750,-0.089,0.189,10.076,0.82,Smooth_Road
SEQ-0005,800,0.26,0.029,9.249,0.82,Smooth_Road
SEQ-0005,850,0.213,0.04,9.814,0.82,Smooth_Road
SEQ-0005,900,-0.189,0.312,10.011,0.82,Smooth_Road
SEQ-0005,950,0.098,-0.314,9.391,0.82,Smooth_Road
SEQ-0006,0,0.091,0.058,10.265,1.02,Smooth_Road
SEQ-0006,50,-0.022,0.047,10.123,1.02,Smooth_Road
SEQ-0006,100,-0.108,0.043,9.814,1.02,Smooth_Road
SEQ-0006,150,0.247,-0.17,10.391,1.02,Smooth_Road
SEQ-0006,200,0.114,0.327,9.453,1.02,Smooth_Road
SEQ-0006,250,-0.07,0.199,9.627,1.02,Smooth_Road
SEQ-0006,300,0.046,0.277,9.503,1.02,Smooth_Road
SEQ-0006,350,-0.034,0.056,10.301,1.02,Smooth_Road
SEQ-0006,400,0.201,0.04,10.428,1.02,Smooth_Road
SEQ-0006,450,-0.169,-0.085,10.049,1.02,Smooth_Road
SEQ-0006,500,-0.25,0.077,9.471,1.02,Smooth_Road
