trajectory_id,initial_pci,cbr_subgrade_pct,rainfall_mm,day_30_pci,day_60_pci,day_90_pci,day_180_pci,requires_immediate_patch
TRAJ-MONSOON-0001,1.1,7.8,11113.9,1.1,1.2,1.3,1.7,YES
TRAJ-MONSOON-0002,0.6,4.5,8109.0,0.6,0.7,0.7,0.9,YES
TRAJ-MONSOON-0003,1.2,6.9,3395.3,1.3,1.3,1.3,1.6,YES
TRAJ-MONSOON-0004,0.4,6.4,6882.2,0.4,0.4,0.5,0.5,YES
TRAJ-MONSOON-0005,1.5,3.9,14559.0,1.6,1.9,2.2,3.4,YES
TRAJ-MONSOON-0006,0.8,7.1,5672.9,0.8,0.9,0.9,1.1,YES
TRAJ-MONSOON-0007,0.2,7.1,10749.4,0.2,0.2,0.3,0.4,YES
TRAJ-MONSOON-0008,0.3,4.6,5215.2,0.4,0.4,0.4,0.5,YES
TRAJ-MONSOON-0009,1.9,5.8,11679.0,2.0,2.2,2.4,3.5,YES
TRAJ-MONSOON-0010,1.4,7.5,4114.7,1.4,1.4,1.5,1.8,YES
TRAJ-MONSOON-0011,2.0,3.9,13442.1,2.2,2.5,2.8,4.1,YES
TRAJ-MONSOON-0012,1.2,7.1,12980.6,1.2,1.3,1.4,1.7,YES
TRAJ-MONSOON-0013,2.4,4.6,8022.5,2.5,2.5,2.8,3.6,YES
TRAJ-MONSOON-0014,0.3,6.0,7788.8,0.3,0.3,0.3,0.3,YES
TRAJ-MONSOON-0015,2.5,4.2,10246.0,2.6,2.9,3.2,4.3,YES
TRAJ-MONSOON-0016,1.4,3.5,12611.9,1.5,1.6,1.7,2.2,YES
TRAJ-MONSOON-0017,1.7,3.9,10518.6,1.8,1.9,2.1,3.0,YES
TRAJ-MONSOON-0018,1.7,7.1,8550.4,1.8,1.9,2.0,2.5,YES
TRAJ-MONSOON-0019,1.9,7.5,13362.8,2.0,2.3,2.7,3.9,YES
TRAJ-MONSOON-0020,1.8,6.3,3751.9,1.9,1.8,2.0,2.2,YES
TRAJ-MONSOON-0021,1.7,5.8,1858.3,1.8,1.7,1.8,1.9,YES
TRAJ-MONSOON-0022,1.4,5.9,7641.5,1.4,1.5,1.5,1.9,YES
TRAJ-MONSOON-0023,0.2,7.6,6708.7,0.2,0.3,0.3,0.4,YES
TRAJ-MONSOON-0024,0.9,3.8,8573.6,1.0,1.1,1.2,1.7,YES
TRAJ-MONSOON-0025,2.2,6.7,10606.7,2.4,2.5,2.8,3.8,YES
TRAJ-MONSOON-0026,2.3,5.6,7772.0,2.5,2.6,2.8,3.9,YES
TRAJ-MONSOON-0027,1.1,3.5,8885.1,1.0,1.1,1.2,1.4,YES
TRAJ-MONSOON-0028,0.3,7.1,5722.8,0.3,0.3,0.3,0.4,YES
TRAJ-MONSOON-0029,0.3,5.7,8339.2,0.3,0.4,0.4,0.5,YES
TRAJ-MONSOON-0030,0.8,5.2,1637.6,0.8,0.8,0.8,0.9,YES
TRAJ-MONSOON-0031,0.6,4.3,8463.8,0.6,0.7,0.7,1.0,YES
TRAJ-MONSOON-0032,0.8,4.8,11488.8,0.8,0.8,0.8,1.0,YES
TRAJ-MONSOON-0033,1.3,5.4,3011.4,1.4,1.4,1.4,1.5,YES
TRAJ-MONSOON-0034,1.6,5.5,12919.1,1.7,1.8,2.1,2.8,YES
TRAJ-MONSOON-0035,2.4,5.9,6128.5,2.5,2.6,2.8,3.4,YES
TRAJ-MONSOON-0036,2.3,4.0,1505.7,2.3,2.3,2.3,2.4,YES
TRAJ-MONSOON-0037,2.1,3.1,12309.8,2.3,2.4,2.5,3.2,YES
TRAJ-MONSOON-0038,2.0,4.4,3072.9,2.1,2.2,2.3,2.6,YES
TRAJ-MONSOON-0039,1.0,7.7,12947.0,1.0,1.2,1.3,1.9,YES
TRAJ-MONSOON-0040,2.1,4.6,13485.1,2.2,2.3,2.5,3.3,YES
TRAJ-MONSOON-0041,1.7,5.2,4751.6,1.7,1.8,1.8,2.1,YES
TRAJ-MONSOON-0042,1.5,5.2,13371.7,1.5,1.6,1.7,2.3,YES
TRAJ-MONSOON-0043,0.4,6.5,1555.1,0.4,0.4,0.4,0.5,YES
TRAJ-MONSOON-0044,0.4,6.9,8596.9,0.4,0.4,0.5,0.6,YES
TRAJ-MONSOON-0045,0.3,3.6,2204.1,0.3,0.3,0.3,0.4,YES
TRAJ-MONSOON-0046,2.2,4.1,14466.7,2.3,2.5,2.7,3.5,YES
TRAJ-MONSOON-0047,2.4,5.6,9626.3,2.6,2.8,3.0,4.2,YES
TRAJ-MONSOON-0048,1.6,4.4,3227.8,1.6,1.7,1.7,2.0,YES
TRAJ-MONSOON-0049,0.9,7.1,10428.6,1.0,1.0,1.1,1.4,YES
TRAJ-MONSOON-0050,2.2,3.2,882.3,2.1,2.3,2.2,2.4,YES
TRAJ-MONSOON-0051,1.2,4.4,1317.4,1.2,1.2,1.2,1.3,YES
TRAJ-MONSOON-0052,0.5,7.8,9289.5,0.5,0.6,0.6,0.7,YES
TRAJ-MONSOON-0053,1.4,6.9,8042.4,1.5,1.6,1.7,2.3,YES
TRAJ-MONSOON-0054,0.3,6.8,9494.5,0.3,0.3,0.3,0.4,YES
TRAJ-MONSOON-0055,2.3,4.7,7952.8,2.4,2.6,2.8,3.7,YES
TRAJ-MONSOON-0056,0.8,5.3,14710.5,0.8,0.9,1.0,1.4,YES
TRAJ-MONSOON-0057,0.6,4.7,13503.4,0.7,0.7,0.8,1.2,YES
TRAJ-MONSOON-0058,0.4,3.6,7181.3,0.4,0.4,0.4,0.5,YES
TRAJ-MONSOON-0059,2.2,7.6,1385.6,2.2,2.3,2.2,2.3,YES
TRAJ-MONSOON-0060,1.3,6.1,5849.2,1.4,1.4,1.6,1.9,YES
TRAJ-MONSOON-0061,0.4,5.2,8223.0,0.5,0.5,0.5,0.6,YES
TRAJ-MONSOON-0062,1.0,3.6,13412.6,1.0,1.2,1.3,1.9,YES
TRAJ-MONSOON-0063,1.5,6.7,6759.1,1.6,1.6,1.6,2.0,YES
TRAJ-MONSOON-0064,2.5,6.0,3939.8,2.5,2.5,2.5,2.7,YES
TRAJ-MONSOON-0065,0.6,7.5,1663.4,0.6,0.6,0.6,0.7,YES
TRAJ-MONSOON-0066,0.8,3.9,10195.3,0.8,0.9,1.0,1.5,YES
TRAJ-MONSOON-0067,0.9,5.1,7860.4,0.9,1.0,1.0,1.2,YES
